carat,cut,color,clarity,depth,table,price,x,y,z,clarity_measure,color_measure
1.0,Premium,D,SI2,62.0,60.0,3634,6.38,3.9308000000000005,3.196348,1,6
1.0,Fair,D,SI2,65.2,56.0,3634,6.27,4.068480000000001,3.3703444800000004,1,6
1.0,Good,D,SI2,64.0,59.0,3634,6.29,4.009600000000002,3.2958720000000006,1,6
1.0,Fair,G,SI1,43.0,59.0,3634,6.32,2.7068499999999993,1.9407727499999998,2,3
1.0,Premium,G,SI1,60.1,61.0,3634,6.44,3.8584199999999997,3.09467521,2,3
1.0,Premium,G,SI1,60.1,61.0,3634,6.44,3.8584199999999997,3.09467521,2,3
1.03,Premium,J,SI2,62.8,58.0,3634,6.48,4.047460000000001,3.3056224400000005,1,0
1.0,Good,D,SI2,63.9,56.0,3634,6.32,4.022504999999999,3.3044303475,1,6
1.03,Ideal,F,I1,61.0,56.0,3634,6.58,3.9955,3.2255275,0,4
1.03,Ideal,H,SI2,60.8,56.0,3634,6.56,3.96112,3.19842048,1,2
0.91,Ideal,H,SI1,62.4,57.0,3635,6.18,3.8719199999999994,3.1361990399999997,2,2
0.74,Ideal,G,VS1,61.2,56.0,3635,5.83,3.57714,2.87858484,4,3
0.74,Ideal,G,VS1,60.9,55.0,3635,5.84,3.577874999999999,2.8677429374999996,4,3
1.12,Ideal,J,VS2,62.9,57.0,3638,6.55,4.110515,3.3527319675,3,0
0.91,Very Good,E,SI2,60.3,59.0,3638,6.28,3.7777950000000002,3.0324251925,1,5
1.02,Good,J,SI2,62.2,61.0,3639,6.41,4.008790000000001,3.2402436900000002,1,0
0.91,Premium,E,SI2,61.1,59.0,3639,6.24,3.800420000000001,3.0673483100000003,1,5
0.91,Premium,E,SI2,62.8,61.0,3639,6.09,3.8182399999999994,3.1111873599999997,1,5
1.14,Good,I,SI1,63.9,58.0,3639,6.64,4.23018,3.47302251,2,1
1.0,Premium,F,SI2,59.8,58.0,3640,6.53,3.88999,3.11557701,1,4
0.76,Very Good,F,VVS2,62.9,58.0,3640,5.76,3.651345000000001,2.9598680025000004,5,4
1.03,Very Good,J,SI2,63.1,57.0,3640,6.41,4.051020000000001,3.3004518100000007,1,0
1.0,Fair,H,SI2,65.1,58.0,3640,6.27,4.04271,3.356787104999999,1,2
1.0,Premium,H,SI2,59.1,62.0,3640,6.5,3.832635,3.0532936425,1,2
1.0,Good,H,SI2,64.1,61.0,3640,6.36,4.047914999999999,3.3357367574999994,1,2
1.0,Premium,H,SI2,59.6,62.0,3640,6.52,3.85314,3.0911957199999995,1,2
1.0,Good,I,SI1,57.6,61.0,3640,6.56,3.7670400000000006,2.9741875200000005,2,1
1.0,Good,H,SI2,63.8,55.0,3640,6.28,3.99388,3.27736772,1,2
1.0,Very Good,I,SI1,63.3,54.0,3640,6.39,4.029045000000001,3.2976277425,2,1
1.0,Premium,J,VS1,59.7,62.0,3640,6.52,3.87453,3.1027672049999997,4,0
1.0,Premium,G,SI2,63.0,56.0,3640,6.37,4.0005,3.2667075,1,3
1.0,Good,H,SI2,63.8,57.0,3640,6.32,4.019400000000001,3.2982686000000005,1,2
0.82,Very Good,E,VS2,62.6,60.0,3641,5.91,3.7184399999999993,3.01370172,3,5
0.85,Ideal,F,VS2,62.4,57.0,3641,6.13,3.787680000000001,3.0943161600000004,3,4
0.71,Premium,G,IF,62.0,58.0,3642,5.67,3.530900000000001,2.8522790000000002,7,3
0.91,Ideal,F,SI2,62.7,57.0,3642,6.16,3.8779950000000003,3.1469114325,1,4
0.9,Very Good,J,VS1,62.4,57.0,3643,6.13,3.84072,3.11086464,4,0
0.9,Very Good,D,SI2,58.8,59.0,3643,6.24,3.68088,2.91673872,1,6
0.77,Very Good,D,VS1,62.4,58.0,3643,5.82,3.6472800000000003,2.9537913600000003,4,6
0.81,Very Good,E,SI1,61.9,60.0,3643,5.87,3.65829,2.949005755,2,5
0.9,Very Good,H,SI1,63.0,58.0,3643,6.13,3.87765,3.15240975,2,2
1.16,Premium,D,I1,61.8,59.0,3644,6.74,4.1776800000000005,3.37356312,0,6
0.9,Good,I,VS1,63.3,59.0,3644,6.06,3.8486400000000005,3.13608456,4,1
0.9,Ideal,H,SI1,61.5,57.0,3644,6.17,3.8130000000000006,3.0697725,2,2
0.9,Very Good,I,VS1,62.2,58.0,3644,6.13,3.828409999999999,3.0970655099999997,4,1
0.93,Very Good,G,SI2,60.8,62.0,3644,6.29,3.8395199999999994,3.0793740799999996,1,3
0.7,Ideal,F,VVS2,61.7,58.0,3644,5.66,3.507645,2.8282184825,5,4
0.91,Premium,E,SI2,61.0,58.0,3644,6.31,3.836899999999999,3.0948044999999995,1,5
0.91,Premium,F,SI1,62.7,59.0,3644,6.23,3.890535,3.1727877225000003,2,4
0.77,Premium,D,VS1,62.1,57.0,3644,5.85,3.6173249999999992,2.9396044124999996,4,6
1.16,Good,G,SI2,63.7,57.0,3644,6.59,4.188275000000001,3.4328805875,1,3
1.0,Good,G,SI2,61.4,61.0,3646,6.32,3.88969,3.13437483,1,3
0.93,Premium,H,SI1,62.8,58.0,3646,6.24,3.9093,3.1868802,2,2
0.77,Ideal,F,VS1,61.2,56.0,3647,5.9,3.61998,2.91311388,4,4
0.8,Ideal,E,VS2,62.2,57.0,3648,5.95,3.71023,3.00433153,3,5
0.76,Ideal,H,VVS1,61.9,54.0,3648,5.87,3.6428149999999997,2.9442162425,6,2
0.76,Ideal,F,VS2,61.9,57.0,3648,5.83,3.618055,2.9241730225,3,4
0.76,Ideal,G,VS1,61.3,54.0,3648,5.88,3.6228299999999996,2.912617395,4,3
0.92,Premium,G,SI2,58.4,58.0,3648,6.4,3.7200799999999994,2.9550633599999996,1,3
0.76,Ideal,E,VS1,60.5,56.0,3649,5.94,3.6088250000000004,2.8885195625,4,5
0.92,Good,E,SI1,63.3,57.0,3649,6.17,3.9214350000000007,3.1939391775000003,2,5
0.9,Very Good,G,SI1,63.6,57.0,3649,6.09,3.8827800000000003,3.17134404,2,3
0.9,Very Good,G,SI1,63.5,59.0,3649,6.07,3.8671500000000005,3.1550451250000004,2,3
0.73,Ideal,E,VS2,61.7,57.0,3649,5.77,3.569345,2.8811879325,3,5
0.92,Premium,G,SI2,62.9,58.0,3650,6.21,3.88722,3.17557569,1,3
0.93,Very Good,J,VS1,63.0,53.0,3651,6.22,3.9311999999999996,3.197628,4,0
1.02,Premium,J,VS2,58.9,60.0,3651,6.57,3.8579500000000007,3.071031275,3,0
1.0,Good,G,SI2,57.8,64.0,3651,6.55,3.771449999999999,2.9828990499999994,1,3
0.82,Ideal,G,VS1,61.5,56.0,3652,6.01,3.708449999999999,2.9884233749999995,4,3
0.95,Premium,H,SI2,58.8,60.0,3652,6.45,3.7720200000000004,3.00527388,1,2
0.8,Very Good,F,VS2,62.3,57.0,3653,5.91,3.691275000000001,2.9907971625000003,3,4
0.91,Very Good,F,SI2,61.6,59.0,3653,6.14,3.81304,3.0655363199999996,1,4
0.8,Ideal,F,VS2,62.0,55.0,3653,5.93,3.6982999999999997,2.9847729999999997,3,4
0.76,Very Good,G,VVS2,62.1,56.0,3655,5.81,3.62043,2.9281485149999997,5,3
1.01,Good,J,VS2,62.8,58.0,3655,6.3,3.9721,3.2254394,3,0
0.77,Ideal,F,VS1,60.9,58.0,3655,5.91,3.611369999999999,2.899257165,4,4
1.11,Premium,D,I1,61.9,58.0,3655,6.66,4.113254999999999,3.3343224224999997,0,6
1.07,Very Good,G,SI2,63.5,59.0,3655,6.52,4.12115,3.3785651249999997,1,3
1.02,Premium,G,SI2,62.5,58.0,3656,6.42,3.987499999999999,3.2523437499999996,1,3
0.9,Very Good,I,VS1,63.3,58.0,3656,6.07,3.8518050000000006,3.1402512825000004,4,1
0.7,Ideal,H,VS2,61.9,56.0,3656,5.68,3.531395,2.8509267525,3,2
0.7,Ideal,H,VS2,60.8,56.0,3656,5.74,3.499039999999999,2.80866816,3,2
0.9,Ideal,J,VS1,62.6,54.0,3656,6.15,3.8592899999999997,3.13290777,4,0
1.02,Good,H,SI2,64.0,57.0,3656,6.41,4.089600000000001,3.359872,1,2
1.02,Ideal,I,SI1,62.9,57.0,3656,6.41,4.019310000000001,3.280017995,2,1
1.01,Premium,J,SI2,61.9,59.0,3658,6.38,3.9368399999999992,3.1930619799999995,1,0
0.96,Fair,H,VS2,68.8,56.0,3658,6.11,4.1589599999999995,3.5325222399999996,3,2
0.91,Very Good,F,SI2,62.4,58.0,3659,6.17,3.86256,3.13015872,1,4
0.9,Good,F,SI1,62.8,64.0,3659,6.18,3.8213799999999996,3.1404333199999996,2,4
0.73,Ideal,E,VS1,60.9,55.8,3660,5.8,3.5474249999999996,2.8462909124999998,4,5
0.9,Good,E,SI2,59.9,61.0,3660,6.16,3.7018199999999997,2.95361509,1,5
0.91,Good,D,SI2,63.3,62.0,3660,6.01,3.829649999999999,3.1142492249999996,1,6
1.09,Premium,I,SI1,62.7,60.0,3662,6.57,4.100580000000001,3.3452268300000005,2,1
0.9,Premium,E,SI2,62.2,60.0,3662,6.15,3.83774,3.1061871400000003,1,5
0.9,Very Good,E,SI2,62.4,57.0,3662,6.13,3.837600000000001,3.1098912000000003,1,5
0.9,Premium,E,SI2,61.3,60.0,3662,6.17,3.800600000000001,3.0559889000000005,1,5
0.9,Premium,E,SI2,60.8,60.0,3662,6.21,3.78784,3.03934336,1,5
0.9,Very Good,E,SI2,62.6,60.0,3662,6.09,3.84051,3.10824963,1,5
0.9,Ideal,E,SI2,62.0,55.0,3662,6.15,3.8377999999999997,3.096218,1,5
0.7,Ideal,F,VS1,61.2,56.0,3662,5.73,3.5159400000000005,2.8292576400000002,4,4
1.22,Very Good,H,I1,61.6,56.0,3663,6.8,4.210359999999999,3.3911908799999995,0,2
0.89,Good,F,SI1,64.3,55.0,3663,6.12,3.899795,3.2213640925,2,4
0.9,Premium,I,VS2,60.1,59.0,3663,6.37,3.7923099999999996,3.0537741549999997,3,1
0.91,Very Good,I,VS2,61.0,57.0,3664,6.2,3.800299999999999,3.0500914999999997,3,1
0.87,Very Good,D,SI1,60.2,60.0,3664,6.12,3.6992899999999986,2.9556062899999995,2,6
0.91,Ideal,G,SI2,62.3,56.0,3664,6.18,3.8626000000000005,3.1282699000000003,1,3
1.01,Premium,I,SI2,59.6,62.0,3665,6.56,3.8918799999999996,3.1146602399999996,1,1
0.91,Ideal,E,SI1,60.7,56.0,3665,6.26,3.78768,3.04947088,2,5
1.01,Premium,H,SI2,59.6,60.0,3665,6.5,3.8888999999999996,3.0958921999999998,1,2
1.19,Ideal,H,I1,61.5,57.0,3665,6.79,4.188149999999999,3.3757811249999996,0,2
1.27,Very Good,I,I1,60.2,62.0,3665,7.0,4.229050000000001,3.37994405,0,1
0.91,Premium,E,SI1,62.2,58.0,3665,6.29,3.87817,3.16230087,2,5
1.01,Good,J,SI1,63.6,54.0,3665,6.44,4.0704,3.3423072,2,0
0.91,Very Good,J,VS1,62.1,55.0,3666,6.16,3.850200000000001,3.1081671,4,0
0.9,Good,I,VS1,63.5,61.0,3666,5.96,3.8004749999999996,3.0989508125,4,1
0.73,Ideal,G,VVS1,61.3,56.0,3667,5.79,3.558464999999999,2.8653045225,6,3
0.7,Very Good,D,VS2,60.6,60.0,3668,5.71,3.4723800000000002,2.78226114,3,6
0.78,Very Good,D,VS2,62.2,56.0,3668,5.85,3.657359999999999,2.9567889599999995,3,6
1.03,Premium,F,SI2,62.2,60.0,3668,6.47,4.018119999999999,3.2618053199999997,1,4
0.74,Ideal,D,VS2,61.4,58.0,3668,5.8,3.57041,2.87671587,3,6
1.03,Very Good,F,SI2,63.1,57.0,3668,6.42,4.038400000000001,3.2996252000000004,1,4
0.73,Very Good,F,VVS2,63.8,59.0,3669,5.69,3.6397900000000005,2.9762030100000003,5,4
0.95,Premium,J,VVS2,62.6,59.0,3669,6.23,3.909369999999999,3.17362281,5,0
0.85,Very Good,D,SI1,60.3,57.0,3669,6.09,3.7114650000000005,2.9551416975,2,6
0.73,Ideal,G,VVS1,61.9,57.0,3669,5.76,3.577819999999999,2.89005529,6,3
0.9,Good,G,SI1,57.7,65.0,3669,6.25,3.6177899999999994,2.846857415,2,3
0.9,Good,G,SI1,65.2,58.0,3669,6.0,3.9315599999999993,3.23768856,2,3
1.04,Premium,J,SI2,62.0,59.0,3669,6.49,4.0176,3.257356,1,0
0.91,Premium,H,SI1,62.8,58.0,3669,6.16,3.8590599999999995,3.14598484,2,2
0.9,Good,G,SI1,63.7,60.0,3669,6.11,3.8793300000000004,3.1816016050000004,2,3
0.91,Premium,I,VS1,61.9,57.0,3669,6.24,3.847085,3.1219528075,4,1
0.9,Very Good,G,SI1,63.1,59.0,3669,6.15,3.868030000000001,3.1606884650000002,2,3
0.9,Good,I,IF,63.7,64.0,3669,6.07,3.8506649999999993,3.1597318025,7,1
0.9,Good,G,SI1,63.7,58.0,3669,6.12,3.8888849999999993,3.1878298725,2,3
0.9,Good,H,VS1,64.0,59.0,3669,6.05,3.8591999999999986,3.1709439999999995,4,2
0.9,Good,G,SI1,63.8,59.0,3669,6.08,3.8694699999999997,3.17388093,2,3
0.9,Very Good,G,SI1,63.2,59.0,3669,6.1,3.8393999999999995,3.1408503999999997,2,3
0.9,Premium,G,SI1,62.0,61.0,3669,6.13,3.781999999999999,3.07272,2,3
1.12,Premium,I,SI2,61.2,58.0,3669,6.72,4.1004,3.3110424,1,1
1.0,Fair,F,SI1,66.7,57.0,3669,6.07,4.022010000000002,3.3656853350000007,2,4
1.04,Ideal,H,SI2,62.0,57.0,3669,6.53,4.017599999999999,3.2697559999999997,1,2
0.91,Ideal,I,VS1,62.5,55.0,3669,6.25,3.890625,3.1689453125,4,1
0.9,Premium,G,SI1,61.9,59.0,3669,6.18,3.809944999999999,3.0918879774999994,2,3
1.12,Fair,I,SI2,64.6,57.0,3669,6.5,4.189309999999999,3.452647129999999,1,1
1.17,Premium,H,I1,62.8,58.0,3669,6.71,4.2076,3.4281264,0,2
1.13,Ideal,H,I1,61.1,56.0,3669,6.77,4.11814,3.32632677,0,2
0.91,Premium,H,SI1,62.2,60.0,3669,6.22,3.850179999999999,3.1318259799999995,2,2
1.04,Ideal,I,SI1,59.7,56.0,3669,6.6,3.9222900000000003,3.140903565,2,1
0.9,Premium,G,SI1,62.6,62.0,3669,6.08,3.7998200000000004,3.0923836600000003,2,3
0.71,Very Good,D,VVS2,62.7,59.0,3670,5.64,3.5519550000000004,2.8816778925,5,6
0.85,Ideal,G,SI1,62.2,56.0,3670,6.04,3.772429999999999,3.05166573,2,3
1.13,Ideal,H,SI2,60.6,57.0,3670,6.79,4.108679999999999,3.3023000399999995,1,2
1.01,Premium,H,SI2,63.0,59.0,3671,6.33,3.9689999999999994,3.244185,1,2
1.01,Fair,G,SI1,66.1,56.0,3671,6.26,4.118029999999999,3.4299389149999993,2,3
1.01,Good,D,SI2,63.8,61.0,3671,6.13,3.888609999999999,3.1959365899999996,1,6
0.76,Ideal,G,VVS1,62.0,54.7,3671,5.83,3.6270000000000007,2.93167,6,3
0.78,Ideal,E,SI1,60.4,57.0,3671,5.95,3.6088999999999993,2.8867877999999996,2,5
1.01,Very Good,D,SI2,59.1,63.0,3671,6.59,3.8799150000000004,3.0938598825,1,6
0.95,Premium,G,SI2,60.5,62.0,3671,6.44,3.8720000000000008,3.11938,1,3
0.78,Very Good,D,VS2,59.8,60.0,3672,5.97,3.588,2.8578419999999998,3,6
1.0,Good,F,SI2,60.6,62.0,3672,6.36,3.881430000000001,3.1031532900000003,1,4
1.06,Premium,J,SI2,61.3,60.0,3672,6.52,4.018215,3.2299628974999997,1,0
1.05,Premium,F,SI2,61.1,59.0,3672,6.54,4.017324999999999,3.2252627874999997,1,4
0.7,Ideal,G,IF,60.2,57.0,3672,5.78,3.4976200000000004,2.79256362,7,3
0.8,Very Good,G,VS1,62.7,56.0,3673,5.9,3.7118400000000005,3.01331184,4,3
0.73,Ideal,D,VS2,62.3,54.0,3673,5.77,3.6040550000000007,2.9200181325,3,6
0.82,Premium,G,SI1,61.8,58.0,3674,6.02,3.708,3.0059519999999997,2,3
0.71,Ideal,D,SI1,61.4,56.0,3674,5.7,3.51208,2.82810856,2,6
0.71,Ideal,D,SI1,60.6,56.0,3674,5.78,3.5117699999999994,2.8154063099999997,2,6
0.96,Fair,E,SI2,57.7,67.0,3674,6.49,3.7360749999999996,2.9502226375000005,1,5
1.01,Premium,E,SI2,62.3,55.0,3674,6.35,3.93736,3.20451264,1,5
1.0,Ideal,F,SI2,61.1,54.0,3674,6.51,3.965390000000001,3.200231645,1,4
0.81,Premium,E,VS2,61.5,58.0,3674,5.99,3.668474999999999,2.9699810624999996,3,5
1.01,Very Good,E,SI2,63.3,58.0,3674,6.4,4.022715,3.2987892975,1,5
0.92,Premium,H,SI1,62.2,58.0,3675,6.19,3.8626200000000006,3.1263648200000005,2,2
1.03,Premium,D,SI2,62.3,58.0,3675,6.5,4.01835,3.276466025,1,6
0.79,Ideal,H,VVS1,62.0,56.0,3675,5.92,3.6828000000000003,2.976868,6,2
0.63,Premium,E,VS1,60.5,57.0,3675,5.58,3.3607750000000003,2.7045844375,4,5
1.0,Good,G,SI2,63.4,60.0,3676,6.22,3.981519999999999,3.2338818399999996,1,3
1.01,Premium,H,SI2,60.3,59.0,3676,6.51,3.9074399999999994,3.1408581599999996,1,2
1.01,Fair,H,VS1,67.1,59.0,3676,6.16,4.109874999999999,3.445543062499999,4,2
1.01,Premium,H,SI2,61.6,60.0,3676,6.22,3.8191999999999995,3.0920735999999995,1,2
1.01,Very Good,I,SI1,63.2,55.0,3676,6.4,4.01952,3.29256832,2,1
1.01,Good,I,SI1,64.1,59.0,3676,6.24,3.990224999999999,3.278787112499999,2,1
0.9,Ideal,J,IF,62.2,57.0,3677,6.17,3.82841,3.10950551,7,0
0.9,Ideal,I,VS1,61.6,56.0,3677,6.22,3.81304,3.09017632,4,1
1.13,Ideal,H,I1,62.2,55.0,3678,6.65,4.14874,3.3584081400000003,0,2
1.1,Ideal,F,I1,61.8,56.0,3678,6.61,4.097340000000002,3.3085680600000007,0,4
1.1,Very Good,F,I1,59.8,61.0,3678,6.65,3.99165,3.18185335,0,4
0.9,Very Good,F,SI1,63.6,58.0,3679,6.1,3.8891399999999994,3.1765465199999996,2,4
0.75,Ideal,D,VS2,61.1,55.0,3679,5.87,3.5926799999999988,2.8908487399999996,3,6
0.92,Very Good,E,SI2,63.2,54.0,3679,6.29,3.9626399999999995,3.23983424,1,5
1.0,Good,J,SI1,63.9,60.0,3679,6.26,3.9777749999999994,3.2709691125,2,0
0.9,Ideal,F,SI2,62.3,57.0,3679,6.19,3.8501400000000006,3.12750361,1,4
0.9,Premium,H,SI1,62.0,62.0,3679,6.13,3.7695999999999996,3.068876,2,2
0.31,Very Good,I,VVS1,62.2,60.0,571,4.3,2.680819999999999,2.1710350199999997,6,1
0.31,Premium,D,SI1,60.9,60.0,571,4.38,2.670465,2.1468665925,2,6
0.31,Good,D,SI1,63.5,55.0,571,4.27,2.720975,2.2196345625,2,6
0.31,Ideal,D,SI1,62.4,53.0,571,4.33,2.7081599999999995,2.19590592,2,6
0.28,Very Good,E,VVS2,64.0,54.0,572,4.11,2.6495999999999995,2.163072,5,5
0.28,Very Good,E,VVS2,60.1,62.0,572,4.25,2.5602600000000004,2.04648313,5,5
0.28,Very Good,F,VVS1,58.9,62.0,572,4.27,2.5297549999999998,2.0025278474999997,6,4
0.38,Ideal,J,VS2,62.3,55.0,572,4.63,2.8907200000000017,2.3427042800000004,3,0
0.24,Ideal,F,VS1,62.7,54.0,572,3.99,2.5111349999999995,2.0381058225,4,4
0.24,Ideal,F,VS1,61.8,54.0,572,3.99,2.47818,1.99866762,4,4
0.37,Ideal,F,SI2,60.9,56.0,572,4.65,2.840985,2.2810049325,1,4
0.3,Ideal,H,SI1,61.6,57.0,572,4.28,2.6488000000000005,2.1340704,2,2
0.33,Premium,I,SI1,62.8,58.0,572,4.43,2.7694799999999997,2.26063672,2,1
0.33,Ideal,I,SI1,62.7,56.0,572,4.44,2.7713399999999995,2.26075509,2,1
0.33,Ideal,I,SI1,61.5,57.0,572,4.49,2.7521249999999995,2.2269534374999997,2,1
0.33,Premium,I,SI1,61.4,58.0,572,4.5,2.7507200000000003,2.22597104,2,1
0.33,Premium,I,SI1,61.3,59.0,572,4.51,2.7493049999999997,2.2249769825,2,1
0.33,Very Good,I,SI1,63.2,58.0,572,4.38,2.7618400000000003,2.25682144,2,1
0.33,Good,I,SI1,63.6,57.0,572,4.42,2.8015799999999995,2.29646244,2,1
0.42,Very Good,G,SI2,59.5,61.0,573,4.85,2.900624999999999,2.3058109374999995,1,3
0.34,Ideal,G,VS2,61.6,56.0,573,4.48,2.7689199999999987,2.2326673599999998,3,3
0.3,Ideal,F,VS2,61.6,56.0,573,4.3,2.6580400000000006,2.14307632,3,4
0.3,Ideal,F,VS2,61.9,56.0,573,4.32,2.680270000000001,2.1665835650000003,3,4
0.3,Ideal,F,VS2,62.2,55.0,573,4.3,2.680819999999999,2.1710350199999997,3,4
0.3,Ideal,F,VS2,62.5,54.0,573,4.29,2.6906250000000007,2.1814453125,3,4
0.3,Ideal,F,VS2,62.3,55.0,573,4.3,2.6913599999999995,2.17780864,3,4
0.3,Ideal,F,VS2,61.1,56.0,573,4.36,2.67007,2.147686385,3,4
0.3,Ideal,F,VS2,60.9,56.0,573,4.35,2.6613299999999986,2.1349499849999996,3,4
0.3,Ideal,F,VS2,61.9,54.0,573,4.29,2.6678900000000008,2.1534669550000003,3,4
0.3,Ideal,F,VS2,61.7,58.0,573,4.28,2.650015,2.1379096275,3,4
0.92,Premium,E,SI2,61.8,59.0,3679,6.19,3.8007,3.0871263,1,5
0.76,Ideal,F,VS1,62.2,56.0,3680,5.83,3.6387,2.9447657,4,4
0.9,Very Good,G,SI1,63.0,57.0,3681,6.13,3.8808,3.153402,2,3
1.01,Very Good,G,SI2,62.0,58.0,3682,6.41,3.989700000000001,3.2239070000000005,1,3
0.91,Premium,F,SI2,61.4,60.0,3682,6.21,3.8190800000000005,3.07892756,1,4
0.8,Ideal,D,SI2,61.9,54.0,3682,5.98,3.69543,2.994545585,1,6
0.7,Ideal,F,VVS1,62.5,57.0,3683,5.62,3.528125,2.8587890625,6,4
0.92,Premium,F,SI1,62.6,59.0,3684,6.23,3.887460000000001,3.1667649800000004,2,4
0.93,Very Good,I,SI1,58.9,60.0,3685,6.43,3.801995,3.0133225274999997,2,1
0.84,Ideal,D,SI1,62.4,57.0,3685,6.03,3.77832,3.06019584,2,6
1.0,Premium,J,VS2,62.0,62.0,3685,6.42,3.9587000000000003,3.217397,3,0
1.0,Premium,J,VS2,60.7,61.0,3685,6.5,3.9181849999999994,3.1619191475,3,0
1.02,Premium,F,SI2,62.5,58.0,3686,6.4,4.021875,3.2568359375,1,4
1.21,Ideal,I,I1,61.3,57.0,3686,6.94,4.238895,3.4263313175000003,0,1
0.91,Very Good,F,SI2,61.2,59.0,3688,6.2,3.8005199999999997,3.06015912,1,4
1.12,Ideal,I,SI2,62.4,57.0,3688,6.69,4.1527199999999995,3.38292864,1,1
0.96,Fair,F,SI2,65.2,58.0,3688,6.14,3.996759999999999,3.30458376,1,4
0.9,Premium,D,SI1,59.5,57.0,3689,6.29,3.718749999999999,2.9776031249999995,2,6
0.9,Very Good,E,SI1,60.7,61.0,3689,6.17,3.7512600000000003,3.01110241,2,5
0.81,Very Good,F,VS1,62.7,56.0,3689,5.92,3.7306500000000007,3.0254787750000003,4,4
0.9,Good,D,SI1,63.6,63.0,3689,6.07,3.8477999999999994,3.1538604,2,6
0.9,Fair,D,SI1,64.8,59.0,3689,6.1,3.9301200000000005,3.2497588800000003,2,6
0.9,Fair,D,SI1,64.5,61.0,3689,6.05,3.8893499999999994,3.205440375,2,6
0.9,Good,D,SI1,64.1,56.0,3689,6.07,3.8812549999999995,3.1893772274999996,2,6
0.9,Good,D,SI1,63.9,57.0,3689,6.1,3.878730000000001,3.188204235,2,6
0.72,Premium,F,VVS1,62.8,58.0,3689,5.75,3.5890199999999997,2.9324522799999997,6,4
0.93,Premium,G,SI2,62.2,55.0,3689,6.27,3.8906100000000006,3.1599497100000002,1,3
0.71,Good,D,VS1,64.2,58.0,3690,5.65,3.61125,2.9728612500000002,4,6
0.72,Ideal,E,VS1,62.1,54.0,3690,5.74,3.5707500000000003,2.890987875,4,5
1.0,Good,J,SI1,61.7,62.0,3690,6.37,3.939545,3.1804946325,2,0
0.96,Premium,H,SI2,59.4,56.0,3690,6.47,3.8283300000000002,3.05860401,1,2
1.1,Ideal,F,I1,61.3,57.0,3690,6.68,4.076450000000001,3.2968519250000003,0,4
0.94,Very Good,D,SI2,60.9,62.0,3691,6.22,3.81234,3.05484753,1,6
0.71,Very Good,F,VVS1,61.8,58.0,3692,5.63,3.5102399999999987,2.8243341599999994,6,4
0.77,Very Good,F,VS2,62.6,55.0,3692,5.85,3.6714900000000004,2.98022637,3,4
1.03,Ideal,G,SI2,60.4,56.0,3692,6.56,3.953179999999999,3.1749803599999993,1,3
1.11,Premium,I,SI2,61.3,59.0,3692,6.69,4.082580000000001,3.3017957700000005,1,1
1.03,Very Good,F,SI2,63.3,59.0,3692,6.35,4.0100549999999995,3.2789574074999996,1,4
1.03,Ideal,H,SI2,60.5,57.0,3692,6.58,3.9627499999999998,3.189181875,1,2
1.23,Fair,E,I1,67.4,56.0,3692,6.76,4.4888400000000015,3.7908590800000006,0,5
0.97,Ideal,H,SI2,61.6,55.0,3694,6.37,3.90852,3.16578416,1,2
0.74,Ideal,F,VS1,62.0,54.0,3694,5.85,3.6145999999999994,2.934026,4,4
1.21,Premium,J,VS2,59.0,60.0,3694,6.93,4.07395,3.24616525,3,0
1.0,Ideal,F,SI2,62.3,56.0,3696,6.34,3.9280150000000003,3.1984866725,1,4
1.1,Good,H,SI2,57.6,61.0,3696,6.82,3.9024,3.0880512000000007,1,2
1.0,Good,E,SI2,57.7,65.0,3696,6.55,3.79089,2.9833467650000003,1,5
1.2,Very Good,H,I1,58.6,57.0,3696,6.96,4.09321,3.2385905299999997,0,2
0.9,Good,F,SI1,64.0,59.0,3696,5.97,3.8272000000000004,3.135104,2,4
1.0,Fair,E,SI1,66.5,55.0,3696,6.21,4.123,3.4357225000000002,2,5
1.0,Premium,G,SI2,59.1,59.0,3696,6.54,3.853319999999999,3.0712260599999994,1,3
1.0,Good,E,SI1,57.6,65.0,3696,6.47,3.7180799999999996,2.93416704,2,5
1.1,Premium,G,SI2,63.0,59.0,3696,6.5,4.08555,3.33444825,1,3
1.1,Premium,I,SI2,62.4,59.0,3696,6.55,4.07472,3.31491264,1,1
1.1,Premium,J,VS2,61.2,57.0,3696,6.66,4.06062,3.28050972,3,0
1.5,Good,I,I1,63.7,61.0,3696,7.22,4.56092,3.75222302,0,1
1.2,Fair,H,SI2,65.6,57.0,3696,6.73,4.362400000000001,3.6383072,1,2
0.75,Ideal,D,VS1,62.4,54.0,3696,5.86,3.6504000000000003,2.9672448,4,6
0.77,Ideal,E,VS1,62.0,56.0,3697,5.87,3.648699999999999,2.9507969999999997,4,5
0.9,Very Good,E,SI2,63.5,58.0,3697,6.08,3.8798499999999994,3.162252375,1,5
0.92,Ideal,G,SI2,63.0,57.0,3697,6.16,3.8713499999999996,3.15987525,1,3
0.9,Fair,H,VS2,64.7,58.0,3697,5.98,3.8787649999999996,3.1893104775000003,3,2
0.82,Premium,E,VS2,59.7,61.0,3697,6.08,3.61782,2.89479927,3,5
1.31,Premium,J,SI2,59.7,59.0,3697,7.06,4.199895000000001,3.3610786575,1,0
1.01,Good,J,SI1,63.6,54.0,3699,6.44,4.0704,3.3423072,2,0
0.9,Very Good,F,SI1,63.8,54.0,3699,6.09,3.89818,3.18622942,2,4
